"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"01/01/2018","139","Donovan","06-073-1014","AQS","165","54","99.4","01/01/2014","01/01/2017"
"01/02/2018","94","Donovan","06-073-1014","AQS","122","35","68.4","01/02/2002","01/02/2006"
"01/03/2018","94","Chula Vista","06-073-0001","AQS","114","31","73.8","01/03/2002","01/03/2005"
"01/04/2018","76","Donovan","06-073-1014","AQS","111","45","69.8","01/04/2001","01/04/2005"
"01/05/2018","78","Donovan","06-073-1014","AQS","111","14","58.4","01/05/2001","01/05/2008"
"01/06/2018","82","Donovan","06-073-1014","AQS","98","28","59.6","01/06/2002","01/06/2008"
"01/07/2018","67","Donovan","06-073-1014","AQS","114","33","53.2","01/07/2001","01/07/2008"
"01/08/2018","68","Donovan","06-073-1014","AQS","118","25","59","01/08/2004","01/08/2005"
"01/09/2018","46","Pala Airpad","06-073-1201","AQS","133","9","60","01/09/2000","01/09/2005"
"01/10/2018","40","Camp Pendleton","06-073-1008","AQS","138","20","53.8","01/10/2000","01/10/2005"
"01/11/2018","49","El Cajon - Lexington Elementary School","06-073-1022","AQS","138","19","56.6","01/11/2000","01/11/2005"
"01/12/2018","76","Camp Pendleton","06-073-1008","AQS","107","35","58.8","01/12/2014","01/12/2005"
"01/13/2018","56","El Cajon - Lexington Elementary School","06-073-1022","AQS","102","48","55.4","01/13/2000","01/13/2009"
"01/14/2018","51","El Cajon - Lexington Elementary School","06-073-1022","AQS","107","34","58.6","01/14/2001","01/14/2008"
"01/15/2018","59","El Cajon - Lexington Elementary School","06-073-1022","AQS","82","40","54.4","01/15/2001","01/15/2007"
"01/16/2018","64","Camp Pendleton","06-073-1008","AQS","109","25","51.8","01/16/2000","01/16/2019"
"01/17/2018","88","Camp Pendleton","06-073-1008","AQS","124","47","67.2","01/17/2003","01/17/2008"
"01/18/2018","72","Camp Pendleton","06-073-1008","AQS","122","33","59.6","01/18/2004","01/18/2019"
"01/19/2018","63","El Cajon - Lexington Elementary School","06-073-1022","AQS","120","37","54.2","01/19/2004","01/19/2000"
"01/20/2018","68","Pala Airpad","06-073-1201","AQS","105","39","61.6","01/20/2002","01/20/2010"
"01/21/2018","55","El Cajon - Lexington Elementary School","06-073-1022","AQS","95","25","60.6","01/21/2001","01/21/2010"
"01/22/2018","52","El Cajon - Lexington Elementary School","06-073-1022","AQS","114","30","52.8","01/22/2003","01/22/2010"
"01/23/2018","56","El Cajon - Lexington Elementary School","06-073-1022","AQS","138","34","48.8","01/23/2003","01/23/2017"
"01/24/2018","51","El Cajon - Lexington Elementary School","06-073-1022","AQS","99","16","53.4","01/24/2003","01/24/2008"
"01/25/2018","47","Donovan","06-073-1014","AQS","80","33","52","01/25/2002","01/25/2008"
"01/26/2018","47","Camp Pendleton","06-073-1008","AQS","84","37","52.4","01/26/2010","01/26/2015"
"01/27/2018","63","El Cajon - Lexington Elementary School","06-073-1022","AQS","75","23","58.4","01/27/2016","01/27/2008"
"01/28/2018","54","El Cajon - Lexington Elementary School","06-073-1022","AQS","89","27","62.8","01/28/2000","01/28/2008"
"01/29/2018","33","El Cajon - Lexington Elementary School","06-073-1022","AQS","92","33","66.4","01/29/2003","01/29/2018"
"01/30/2018","37","Donovan","06-073-1014","AQS","123","37","57.6","01/30/2003","01/30/2018"
"01/31/2018","59","Donovan","06-073-1014","AQS","82","20","57.8","01/31/2019","01/31/2007"
"02/01/2018","63","Donovan","06-073-1014","AQS","106","43","61.6","02/01/2012","02/01/2016"
"02/02/2018","71","Camp Pendleton","06-073-1008","AQS","87","31","52.2","02/02/2002","02/02/2005"
"02/03/2018","83","Camp Pendleton","06-073-1008","AQS","88","25","63.2","02/03/2002","02/03/2004"
"02/04/2018","64","Camp Pendleton","06-073-1008","AQS","110","27","58.2","02/04/2015","02/04/2019"
"02/05/2018","64","Donovan","06-073-1014","AQS","131","26","71","02/05/2006","02/05/2019"
"02/06/2018","70","El Cajon - Lexington Elementary School","06-073-1022","AQS","131","20","65.4","02/06/2015","02/06/2010"
"02/07/2018","71","Camp Pendleton","06-073-1008","AQS","127","6","58.6","02/07/2000","02/07/2008"
"02/08/2018","62","Camp Pendleton","06-073-1008","AQS","93","37","55","02/08/2000","02/08/2009"
"02/09/2018","75","Donovan","06-073-1014","AQS","99","27","58.4","02/09/2007","02/09/2009"
"02/10/2018","63","Camp Pendleton","06-073-1008","AQS","88","24","56.6","02/10/2006","02/10/2000"
"02/11/2018","87","La Posta Reservation","06-073-1011","AQS","87","13","56","02/11/2018","02/11/2005"
"02/12/2018","66","Pala Airpad","06-073-1201","AQS","83","19","62.8","02/12/2015","02/12/2003"
"02/13/2018","51","Pala Airpad","06-073-1201","AQS","117","22","65","02/13/2016","02/13/2001"
"02/14/2018","49","Donovan","06-073-1014","AQS","86","28","55.2","02/14/2016","02/14/2003"
"02/15/2018","41","Camp Pendleton","06-073-1008","AQS","110","32","47.8","02/15/2002","02/15/2019"
"02/16/2018","41","Pala Airpad","06-073-1201","AQS","95","28","53.2","02/16/2002","02/16/2011"
"02/17/2018","41","El Cajon - Lexington Elementary School","06-073-1022","AQS","91","28","55.8","02/17/2004","02/17/2019"
"02/18/2018","51","Donovan","06-073-1014","AQS","99","20","46.8","02/18/2008","02/18/2005"
"02/19/2018","143","La Posta Reservation","06-073-1011","AQS","143","14","75","02/19/2018","02/19/2005"
"02/20/2018","53","La Posta Reservation","06-073-1011","AQS","94","18","58.6","02/20/2015","02/20/2005"
"02/21/2018","50","El Cajon - Lexington Elementary School","06-073-1022","AQS","80","20","50.4","02/21/2001","02/21/2000"
"02/22/2018","41","El Cajon - Lexington Elementary School","06-073-1022","AQS","76","15","45","02/22/2016","02/22/2004"
"02/23/2018","37","El Cajon - Lexington Elementary School","06-073-1022","AQS","70","15","44.4","02/23/2014","02/23/2005"
"02/24/2018","49","El Cajon - Lexington Elementary School","06-073-1022","AQS","77","20","44.8","02/24/2012","02/24/2000"
"02/25/2018","52","El Cajon - Lexington Elementary School","06-073-1022","AQS","86","20","51","02/25/2006","02/25/2003"
"02/26/2018","51","Donovan","06-073-1014","AQS","92","17","54","02/26/2006","02/26/2017"
"02/27/2018","43","Pala Airpad","06-073-1201","AQS","90","12","47.4","02/27/2000","02/27/2017"
"02/28/2018","37","Camp Pendleton","06-073-1008","AQS","78","18","50.6","02/28/2002","02/28/2007"
"03/01/2018","40","Donovan","06-073-1014","AQS","98","28","47.6","03/01/2016","03/01/2015"
"03/02/2018","32","Donovan","06-073-1014","AQS","83","28","45.8","03/02/2016","03/02/2005"
"03/03/2018","25","Pala Airpad","06-073-1201","AQS","67","25","36.8","03/03/2016","03/03/2018"
"03/04/2018","24","El Cajon - Lexington Elementary School","06-073-1022","AQS","63","5","39.8","03/04/2011","03/04/2000"
"03/05/2018","35","El Cajon - Lexington Elementary School","06-073-1022","AQS","81","21","54.4","03/05/2017","03/05/2005"
"03/06/2018","21","El Cajon - Lexington Elementary School","06-073-1022","AQS","77","21","41","03/06/2015","03/06/2018"
"03/07/2018","44","Camp Pendleton","06-073-1008","AQS","61","25","38.8","03/07/2004","03/07/2016"
"03/08/2018","26","El Cajon - Lexington Elementary School","06-073-1022","AQS","76","24","37.6","03/08/2005","03/08/2019"
"03/09/2018","38","Pala Airpad","06-073-1201","AQS","89","29","48","03/09/2005","03/09/2019"
"03/10/2018","61","Donovan","06-073-1014","AQS","96","28","61.6","03/10/2015","03/10/2006"
"03/11/2018","36","Pala Airpad","06-073-1201","AQS","88","17","57","03/11/2015","03/11/2006"
"03/12/2018","34","Donovan","06-073-1014","AQS","95","4","54.8","03/12/2004","03/12/2000"
"03/13/2018","46","Donovan","06-073-1014","AQS","85","31","57.2","03/13/2003","03/13/2006"
"03/14/2018","32","La Posta Reservation","06-073-1011","AQS","155","26","38.2","03/14/2009","03/14/2016"
"03/15/2018","45","La Posta Reservation","06-073-1011","AQS","93","24","43.6","03/15/2000","03/15/2019"
"03/16/2018","45","Donovan","06-073-1014","AQS","102","25","54.8","03/16/2004","03/16/2008"
"03/17/2018","25","Pala Airpad","06-073-1201","AQS","91","23","50.4","03/17/2000","03/17/2002"
"03/18/2018","18","La Posta Reservation","06-073-1011","AQS","90","18","52.8","03/18/2004","03/18/2018"
"03/19/2018","35","Donovan","06-073-1014","AQS","109","24","53.6","03/19/2004","03/19/2005"
"03/20/2018","49","Donovan","06-073-1014","AQS","111","29","52","03/20/2004","03/20/2007"
"03/21/2018","47","Donovan","06-073-1014","AQS","113","18","46.2","03/21/2004","03/21/2017"
"03/22/2018","50","Donovan","06-073-1014","AQS","106","23","39.8","03/22/2004","03/22/2017"
"03/23/2018","38","Pala Airpad","06-073-1201","AQS","72","20","38.8","03/23/2004","03/23/2005"
"03/24/2018","23","El Cajon - Lexington Elementary School","06-073-1022","AQS","90","21","40.4","03/24/2001","03/24/2005"
"03/25/2018","34","Pala Airpad","06-073-1201","AQS","76","27","45.8","03/25/2008","03/25/2017"
"03/26/2018","30","Pala Airpad","06-073-1201","AQS","80","25","48","03/26/2014","03/26/2012"
"03/27/2018","38","Donovan","06-073-1014","AQS","69","23","54.2","03/27/2019","03/27/2007"
"03/28/2018","41","Donovan","06-073-1014","AQS","89","29","54.4","03/28/2001","03/28/2010"
"03/29/2018","63","Donovan","06-073-1014","AQS","96","20","47.4","03/29/2001","03/29/2006"
"03/30/2018","62","Donovan","06-073-1014","AQS","102","30","55.8","03/30/2001","03/30/2016"
"03/31/2018","55","Donovan","06-073-1014","AQS","93","26","56","03/31/2002","03/31/2006"
"04/01/2018","59","Pala Airpad","06-073-1201","AQS","94","27","61.4","04/01/2002","04/01/2010"
"04/02/2018","62","Pala Airpad","06-073-1201","AQS","84","24","61.4","04/02/2002","04/02/2003"
"04/03/2018","54","Pala Airpad","06-073-1201","AQS","75","25","57.4","04/03/2002","04/03/2008"
"04/04/2018","58","Donovan","06-073-1014","AQS","92","27","49.2","04/04/2000","04/04/2017"
"04/05/2018","62","Pala Airpad","06-073-1201","AQS","74","23","49.8","04/05/2000","04/05/2019"
"04/06/2018","58","Pala Airpad","06-073-1201","AQS","73","19","48.8","04/06/2000","04/06/2019"
"04/07/2018","58","Pala Airpad","06-073-1201","AQS","83","30","53.4","04/07/2000","04/07/2006"
"04/08/2018","51","Pala Airpad","06-073-1201","AQS","92","23","46.2","04/08/2000","04/08/2007"
"04/09/2018","71","Donovan","06-073-1014","AQS","75","21","48.8","04/09/2002","04/09/2006"
"04/10/2018","79","Donovan","06-073-1014","AQS","87","20","50","04/10/2002","04/10/2016"
"04/11/2018","59","Donovan","06-073-1014","AQS","65","27","51.6","04/11/2002","04/11/2012"
"04/12/2018","57","Pala Airpad","06-073-1201","AQS","74","20","50","04/12/2002","04/12/2001"
"04/13/2018","61","La Posta Reservation","06-073-1011","AQS","70","15","53.8","04/13/2019","04/13/2003"
"04/14/2018","44","Donovan","06-073-1014","AQS","82","20","48.8","04/14/2002","04/14/2000"
"04/15/2018","53","La Posta Reservation","06-073-1011","AQS","75","21","57.8","04/15/2011","04/15/2006"
"04/16/2018","72","La Posta Reservation","06-073-1011","AQS","74","14","56.4","04/16/2011","04/16/2006"
"04/17/2018","57","Pala Airpad","06-073-1201","AQS","66","20","48.8","04/17/2011","04/17/2000"
"04/18/2018","54","Donovan","06-073-1014","AQS","67","18","49.4","04/18/2015","04/18/2017"
"04/19/2018","43","La Posta Reservation","06-073-1011","AQS","64","16","47.4","04/19/2012","04/19/2017"
"04/20/2018","37","Donovan","06-073-1014","AQS","72","23","55.8","04/20/2012","04/20/2007"
"04/21/2018","56","Donovan","06-073-1014","AQS","81","27","54.4","04/21/2012","04/21/2001"
"04/22/2018","58","El Cajon - Lexington Elementary School","06-073-1022","AQS","78","17","50.2","04/22/2012","04/22/2006"
"04/23/2018","60","Chula Vista","06-073-0001","AQS","66","21","52.8","04/23/2017","04/23/2006"
"04/24/2018","62","Donovan","06-073-1014","AQS","78","22","56.2","04/24/2019","04/24/2005"
"04/25/2018","68","Donovan","06-073-1014","AQS","79","26","56","04/25/2019","04/25/2003"
"04/26/2018","65","Pala Airpad","06-073-1201","AQS","89","23","57.6","04/26/2014","04/26/2012"
"04/27/2018","66","Pala Airpad","06-073-1201","AQS","82","27","57.6","04/27/2001","04/27/2006"
"04/28/2018","66","Donovan","06-073-1014","AQS","72","26","58.8","04/28/2013","04/28/2002"
"04/29/2018","64","Pala Airpad","06-073-1201","AQS","99","26","55.2","04/29/2014","04/29/2002"
"04/30/2018","63","Pala Airpad","06-073-1201","AQS","79","24","52.4","04/30/2001","04/30/2002"
"05/01/2018","50","Pala Airpad","06-073-1201","AQS","96","27","51.8","05/01/2001","05/01/2002"
"05/02/2018","57","Pala Airpad","06-073-1201","AQS","73","29","60.4","05/02/2017","05/02/2005"
"05/03/2018","47","Donovan","06-073-1014","AQS","71","23","60","05/03/2019","05/03/2003"
"05/04/2018","61","Donovan","06-073-1014","AQS","83","26","61","05/04/2019","05/04/2007"
"05/05/2018","73","Donovan","06-073-1014","AQS","82","19","54.8","05/05/2019","05/05/2008"
"05/06/2018","74","Pala Airpad","06-073-1201","AQS","81","25","47.4","05/06/2011","05/06/2005"
"05/07/2018","59","Pala Airpad","06-073-1201","AQS","77","21","37.4","05/07/2001","05/07/2008"
"05/08/2018","56","Pala Airpad","06-073-1201","AQS","80","23","37","05/08/2012","05/08/2000"
"05/09/2018","62","Pala Airpad","06-073-1201","AQS","77","21","43.2","05/09/2012","05/09/2005"
"05/10/2018","64","Donovan","06-073-1014","AQS","80","28","42.4","05/10/2001","05/10/2005"
"05/11/2018","59","Pala Airpad","06-073-1201","AQS","91","20","45.4","05/11/2001","05/11/2019"
"05/12/2018","54","Pala Airpad","06-073-1201","AQS","92","34","49.4","05/12/2001","05/12/2019"
"05/13/2018","31","Pala Airpad","06-073-1201","AQS","101","31","47.2","05/13/2014","05/13/2018"
"05/14/2018","33","El Cajon - Lexington Elementary School","06-073-1022","AQS","87","33","47","05/14/2014","05/14/2018"
"05/15/2018","45","Pala Airpad","06-073-1201","AQS","75","25","40.8","05/15/2009","05/15/2015"
"05/16/2018","41","Pala Airpad","06-073-1201","AQS","84","20","43.6","05/16/2014","05/16/2000"
"05/17/2018","32","Pala Airpad","06-073-1201","AQS","86","32","38.4","05/17/2006","05/17/2018"
"05/18/2018","36","Pala Airpad","06-073-1201","AQS","71","30","40","05/18/2012","05/18/2017"
"05/19/2018","46","Pala Airpad","06-073-1201","AQS","74","32","46","05/19/2012","05/19/2015"
"05/20/2018","45","Pala Airpad","06-073-1201","AQS","159","21","42.6","05/20/2006","05/20/2002"
"05/21/2018","38","Pala Airpad","06-073-1201","AQS","74","25","34.4","05/21/2012","05/21/2002"
"05/22/2018","43","Pala Airpad","06-073-1201","AQS","81","20","36.4","05/22/2013","05/22/2006"
"05/23/2018","38","Pala Airpad","06-073-1201","AQS","77","21","36.8","05/23/2001","05/23/2015"
"05/24/2018","43","Pala Airpad","06-073-1201","AQS","73","25","39","05/24/2001","05/24/2016"
"05/25/2018","22","Alpine","06-073-1006","AQS","65","20","31.2","05/25/2001","05/25/2016"
"05/26/2018","20","Pala Airpad","06-073-1201","AQS","74","18","31.4","05/26/2005","05/26/2017"
"05/27/2018","35","Camp Pendleton","06-073-1008","AQS","67","14","33.8","05/27/2009","05/27/2017"
"05/28/2018","43","Alpine","06-073-1006","AQS","67","27","40.6","05/28/2009","05/28/2017"
"05/29/2018","54","Pala Airpad","06-073-1201","AQS","62","26","50.2","05/29/2003","05/29/2008"
"05/30/2018","57","Pala Airpad","06-073-1201","AQS","68","35","54.4","05/30/2015","05/30/2009"
"05/31/2018","33","Pala Airpad","06-073-1201","AQS","86","30","53","05/31/2001","05/31/2009"
"06/01/2018","36","El Cajon - Lexington Elementary School","06-073-1022","AQS","181","30","49.6","06/01/2010","06/01/2017"
"06/02/2018","48","Donovan","06-073-1014","AQS","68","27","52.2","06/02/2013","06/02/2005"
"06/03/2018","61","El Cajon - Lexington Elementary School","06-073-1022","AQS","63","35","53","06/03/2016","06/03/2001"
"06/04/2018","61","Pala Airpad","06-073-1201","AQS","65","25","51.6","06/04/2016","06/04/2008"
"06/05/2018","65","Pala Airpad","06-073-1201","AQS","85","17","54.2","06/05/2002","06/05/2009"
"06/06/2018","63","Pala Airpad","06-073-1201","AQS","91","19","47.8","06/06/2001","06/06/2009"
"06/07/2018","58","Pala Airpad","06-073-1201","AQS","76","22","48.2","06/07/2001","06/07/2009"
"06/08/2018","56","Pala Airpad","06-073-1201","AQS","79","27","52.4","06/08/2001","06/08/2000"
"06/09/2018","56","Pala Airpad","06-073-1201","AQS","76","21","51.4","06/09/2001","06/09/2003"
"06/10/2018","61","Pala Airpad","06-073-1201","AQS","76","21","51.8","06/10/2019","06/10/2003"
"06/11/2018","59","Donovan","06-073-1014","AQS","70","26","44.6","06/11/2012","06/11/2017"
"06/12/2018","59","Alpine","06-073-1006","AQS","67","0","46.4","06/12/2012","06/12/2000"
"06/13/2018","54","Alpine","06-073-1006","AQS","80","28","44.6","06/13/2006","06/13/2015"
"06/14/2018","60","Pala Airpad","06-073-1201","AQS","81","33","52.6","06/14/2000","06/14/2015"
"06/15/2018","60","Pala Airpad","06-073-1201","AQS","84","28","57","06/15/2010","06/15/2009"
"06/16/2018","60","Pala Airpad","06-073-1201","AQS","75","15","60","06/16/2010","06/16/2008"
"06/17/2018","53","Pala Airpad","06-073-1201","AQS","85","31","62.4","06/17/2003","06/17/2005"
"06/18/2018","27","Pala Airpad","06-073-1201","AQS","97","24","54.2","06/18/2016","06/18/2005"
"06/19/2018","41","Camp Pendleton","06-073-1008","AQS","92","31","56.2","06/19/2002","06/19/2005"
"06/20/2018","57","Pala Airpad","06-073-1201","AQS","74","34","60.8","06/20/2016","06/20/2003"
"06/21/2018","59","Pala Airpad","06-073-1201","AQS","76","32","55.6","06/21/2002","06/21/2008"
"06/22/2018","62","Pala Airpad","06-073-1201","AQS","67","24","51.2","06/22/2011","06/22/2019"
"06/23/2018","60","Pala Airpad","06-073-1201","AQS","68","34","50.6","06/23/2008","06/23/2019"
"06/24/2018","57","Pala Airpad","06-073-1201","AQS","70","41","56.6","06/24/2010","06/24/2017"
"06/25/2018","55","Pala Airpad","06-073-1201","AQS","69","36","59.8","06/25/2016","06/25/2005"
"06/26/2018","56","Pala Airpad","06-073-1201","AQS","75","22","61.6","06/26/2017","06/26/2010"
"06/27/2018","44","Pala Airpad","06-073-1201","AQS","95","27","58.2","06/27/2001","06/27/2010"
"06/28/2018","49","Pala Airpad","06-073-1201","AQS","69","29","50.2","06/28/2008","06/28/2001"
