"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"06/29/2018","58","Pala Airpad","06-073-1201","AQS","66","25","53.6","06/29/2009","06/29/2010"
"06/30/2018","63","Pala Airpad","06-073-1201","AQS","76","31","62.8","06/30/2001","06/30/2011"
"07/01/2018","53","Pala Airpad","06-073-1201","AQS","77","18","60.8","07/01/2010","07/01/2004"
"07/02/2018","29","Pala Airpad","06-073-1201","AQS","76","29","52.2","07/02/2008","07/02/2018"
"07/03/2018","37","Alpine","06-073-1006","AQS","93","36","50.2","07/03/2008","07/03/2002"
"07/04/2018","42","Pala Airpad","06-073-1201","AQS","107","34","51","07/04/2008","07/04/2015"
"07/05/2018","63","Camp Pendleton","06-073-1008","AQS","117","25","52.2","07/05/2008","07/05/2015"
"07/06/2018","64","Pala Airpad","06-073-1201","AQS","82","22","49.8","07/06/2008","07/06/2013"
"07/07/2018","70","Pala Airpad","06-073-1201","AQS","81","30","55.6","07/07/2008","07/07/2013"
"07/08/2018","69","Pala Airpad","06-073-1201","AQS","80","33","61","07/08/2008","07/08/2004"
"07/09/2018","63","Pala Airpad","06-073-1201","AQS","79","30","58","07/09/2008","07/09/2004"
"07/10/2018","62","Pala Airpad","06-073-1201","AQS","65","27","54.2","07/10/2019","07/10/2015"
"07/11/2018","62","Alpine","06-073-1006","AQS","73","18","52","07/11/2012","07/11/2015"
"07/12/2018","59","Pala Airpad","06-073-1201","AQS","72","25","50.8","07/12/2012","07/12/2015"
"07/13/2018","56","Pala Airpad","06-073-1201","AQS","75","36","55.2","07/13/2012","07/13/2007"
"07/14/2018","55","Pala Airpad","06-073-1201","AQS","75","37","55","07/14/2019","07/14/2017"
"07/15/2018","55","Pala Airpad","06-073-1201","AQS","74","40","59.6","07/15/2019","07/15/2000"
"07/16/2018","54","Pala Airpad","06-073-1201","AQS","73","39","58.4","07/16/2019","07/16/2001"
"07/17/2018","52","Pala Airpad","06-073-1201","AQS","73","34","55.4","07/17/2003","07/17/2014"
"07/18/2018","45","Alpine","06-073-1006","AQS","64","24","51.8","07/18/2019","07/18/2014"
"07/19/2018","53","Pala Airpad","06-073-1201","AQS","65","28","50.6","07/19/2000","07/19/2014"
"07/20/2018","53","Pala Airpad","06-073-1201","AQS","70","25","48","07/20/2000","07/20/2015"
"07/21/2018","39","Pala Airpad","06-073-1201","AQS","75","10","42.6","07/21/2000","07/21/2015"
"07/22/2018","28","Pala Airpad","06-073-1201","AQS","74","18","46.6","07/22/2016","07/22/2015"
"07/23/2018","40","Donovan","06-073-1014","AQS","68","25","49.4","07/23/2016","07/23/2015"
"07/24/2018","59","El Cajon - Lexington Elementary School","06-073-1022","AQS","68","38","53","07/24/2006","07/24/2013"
"07/25/2018","65","El Cajon - Lexington Elementary School","06-073-1022","AQS","79","30","54.4","07/25/2008","07/25/2013"
"07/26/2018","70","Pala Airpad","06-073-1201","AQS","73","30","54.4","07/26/2008","07/26/2017"
"07/27/2018","71","Pala Airpad","06-073-1201","AQS","71","40","54","07/27/2018","07/27/2015"
"07/28/2018","64","Pala Airpad","06-073-1201","AQS","71","28","56.4","07/28/2008","07/28/2006"
"07/29/2018","62","Pala Airpad","06-073-1201","AQS","69","19","60.8","07/29/2019","07/29/2006"
"07/30/2018","57","Pala Airpad","06-073-1201","AQS","77","17","60.8","07/30/2019","07/30/2006"
"07/31/2018","48","Pala Airpad","06-073-1201","AQS","76","21","58.6","07/31/2019","07/31/2006"
"08/01/2018","43","Pala Airpad","06-073-1201","AQS","78","32","55.8","08/01/2019","08/01/2006"
"08/02/2018","51","Donovan","06-073-1014","AQS","72","35","54","08/02/2019","08/02/2006"
"08/03/2018","57","Donovan","06-073-1014","AQS","69","33","55.4","08/03/2019","08/03/2003"
"08/04/2018","52","Alpine","06-073-1006","AQS","62","32","55.4","08/04/2002","08/04/2006"
"08/05/2018","53","Donovan","06-073-1014","AQS","65","34","56.6","08/05/2008","08/05/2014"
"08/06/2018","66","Donovan","06-073-1014","AQS","66","35","59.4","08/06/2018","08/06/2007"
"08/07/2018","60","Donovan","06-073-1014","AQS","75","34","58.4","08/07/2019","08/07/2009"
"08/08/2018","66","Pala Airpad","06-073-1201","AQS","71","36","62","08/08/2019","08/08/2013"
"08/09/2018","59","Donovan","06-073-1014","AQS","73","44","62","08/09/2002","08/09/2010"
"08/10/2018","73","Pala Airpad","06-073-1201","AQS","73","46","61","08/10/2018","08/10/2008"
"08/11/2018","53","Pala Airpad","06-073-1201","AQS","71","40","54.6","08/11/2002","08/11/2015"
"08/12/2018","46","Pala Airpad","06-073-1201","AQS","76","40","51.6","08/12/2002","08/12/2015"
"08/13/2018","41","Pala Airpad","06-073-1201","AQS","79","41","53.2","08/13/2002","08/13/2018"
"08/14/2018","52","Pala Airpad","06-073-1201","AQS","82","32","58.4","08/14/2002","08/14/2014"
"08/15/2018","48","Pala Airpad","06-073-1201","AQS","82","30","54.8","08/15/2002","08/15/2014"
"08/16/2018","51","Pala Airpad","06-073-1201","AQS","101","38","56.8","08/16/2008","08/16/2014"
"08/17/2018","57","El Cajon - Lexington Elementary School","06-073-1022","AQS","74","33","60.4","08/17/2002","08/17/2014"
"08/18/2018","66","Pala Airpad","06-073-1201","AQS","77","44","61","08/18/2009","08/18/2005"
"08/19/2018","66","Pala Airpad","06-073-1201","AQS","74","35","56.4","08/19/2009","08/19/2005"
"08/20/2018","74","Pala Airpad","06-073-1201","AQS","74","34","55.6","08/20/2018","08/20/2008"
"08/21/2018","84","Pala Airpad","06-073-1201","AQS","84","36","64.8","08/21/2018","08/21/2004"
"08/22/2018","89","Pala Airpad","06-073-1201","AQS","89","28","67.2","08/22/2018","08/22/2004"
"08/23/2018","72","Pala Airpad","06-073-1201","AQS","97","23","62","08/23/2013","08/23/2004"
"08/24/2018","93","Kearny Villa Rd.","06-073-1016","AQS","93","21","69.6","08/24/2018","08/24/2004"
"08/25/2018","110","Pala Airpad","06-073-1201","AQS","110","29","73.4","08/25/2018","08/25/2014"
"08/26/2018","142","Pala Airpad","06-073-1201","AQS","142","37","82","08/26/2018","08/26/2004"
"08/27/2018","91","Pala Airpad","06-073-1201","AQS","91","35","65.8","08/27/2018","08/27/2004"
"08/28/2018","83","Pala Airpad","06-073-1201","AQS","83","43","65","08/28/2018","08/28/2007"
"08/29/2018","75","Pala Airpad","06-073-1201","AQS","80","37","69.2","08/29/2017","08/29/2000"
"08/30/2018","58","Pala Airpad","06-073-1201","AQS","88","34","64.4","08/30/2017","08/30/2000"
"08/31/2018","59","Donovan","06-073-1014","AQS","76","31","64.6","08/31/2017","08/31/2000"
"09/01/2018","77","Donovan","06-073-1014","AQS","77","32","66.8","09/01/2018","09/01/2013"
"09/02/2018","74","Pala Airpad","06-073-1201","AQS","74","28","64.6","09/02/2018","09/02/2000"
"09/03/2018","69","Pala Airpad","06-073-1201","AQS","72","25","54","09/03/2010","09/03/2000"
"09/04/2018","62","Pala Airpad","06-073-1201","AQS","64","33","56.6","09/04/2017","09/04/2000"
"09/05/2018","60","Pala Airpad","06-073-1201","AQS","76","46","58.2","09/05/2002","09/05/2000"
"09/06/2018","39","El Cajon - Lexington Elementary School","06-073-1022","AQS","68","39","57","09/06/2008","09/06/2018"
"09/07/2018","50","Alpine","06-073-1006","AQS","71","38","59","09/07/2008","09/07/2002"
"09/08/2018","61","Donovan","06-073-1014","AQS","71","40","61.6","09/08/2008","09/08/2007"
"09/09/2018","69","Donovan","06-073-1014","AQS","76","31","66","09/09/2015","09/09/2010"
"09/10/2018","62","Donovan","06-073-1014","AQS","62","36","59.2","09/10/2018","09/10/2005"
"09/11/2018","65","Donovan","06-073-1014","AQS","67","36","60.4","09/11/2000","09/11/2005"
"09/12/2018","67","Donovan","06-073-1014","AQS","80","34","57.4","09/12/2000","09/12/2005"
"09/13/2018","45","Camp Pendleton","06-073-1008","AQS","80","39","50.4","09/13/2000","09/13/2016"
"09/14/2018","57","Donovan","06-073-1014","AQS","85","29","50.2","09/14/2008","09/14/2009"
"09/15/2018","56","Pala Airpad","06-073-1201","AQS","85","15","46","09/15/2008","09/15/2015"
"09/16/2018","53","Pala Airpad","06-073-1201","AQS","77","22","50","09/16/2000","09/16/2015"
"09/17/2018","52","Pala Airpad","06-073-1201","AQS","75","28","53.2","09/17/2008","09/17/2015"
"09/18/2018","45","Donovan","06-073-1014","AQS","78","37","55.8","09/18/2008","09/18/2014"
"09/19/2018","40","Donovan","06-073-1014","AQS","86","20","55.2","09/19/2011","09/19/2014"
"09/20/2018","59","Donovan","06-073-1014","AQS","77","25","56.2","09/20/2001","09/20/2007"
"09/21/2018","70","Pala Airpad","06-073-1201","AQS","76","25","58.2","09/21/2001","09/21/2007"
"09/22/2018","69","Pala Airpad","06-073-1201","AQS","81","20","57.8","09/22/2012","09/22/2007"
"09/23/2018","69","Pala Airpad","06-073-1201","AQS","80","15","58.6","09/23/2002","09/23/2000"
"09/24/2018","62","Pala Airpad","06-073-1201","AQS","91","23","65.6","09/24/2015","09/24/2000"
"09/25/2018","56","Pala Airpad","06-073-1201","AQS","77","37","58.6","09/25/2003","09/25/2014"
"09/26/2018","55","Camp Pendleton","06-073-1008","AQS","99","31","58.4","09/26/2003","09/26/2014"
"09/27/2018","69","Pala Airpad","06-073-1201","AQS","80","31","60.8","09/27/2003","09/27/2014"
"09/28/2018","78","Pala Airpad","06-073-1201","AQS","78","24","58.8","09/28/2018","09/28/2002"
"09/29/2018","65","Pala Airpad","06-073-1201","AQS","89","17","55","09/29/2001","09/29/2002"
"09/30/2018","61","Pala Airpad","06-073-1201","AQS","69","22","60.4","09/30/2015","09/30/2002"
"10/01/2018","57","Donovan","06-073-1014","AQS","104","28","57.6","10/01/2000","10/01/2002"
"10/02/2018","46","Pala Airpad","06-073-1201","AQS","96","43","52","10/02/2000","10/02/2002"
"10/03/2018","52","Pala Airpad","06-073-1201","AQS","81","23","56","10/03/2001","10/03/2006"
"10/04/2018","42","Pala Airpad","06-073-1201","AQS","64","24","49","10/04/2019","10/04/2006"
"10/05/2018","20","Pala Airpad","06-073-1201","AQS","81","20","43.4","10/05/2003","10/05/2018"
"10/06/2018","54","Donovan","06-073-1014","AQS","107","22","58","10/06/2003","10/06/2006"
"10/07/2018","43","Pala Airpad","06-073-1201","AQS","96","32","54.6","10/07/2004","10/07/2007"
"10/08/2018","55","Donovan","06-073-1014","AQS","100","33","63.2","10/08/2004","10/08/2007"
"10/09/2018","56","Pala Airpad","06-073-1201","AQS","92","39","62.4","10/09/2003","10/09/2013"
"10/10/2018","54","Pala Airpad","06-073-1201","AQS","77","25","57.2","10/10/2001","10/10/2000"
"10/11/2018","48","Pala Airpad","06-073-1201","AQS","77","28","57.6","10/11/2001","10/11/2007"
"10/12/2018","42","Pala Airpad","06-073-1201","AQS","82","22","54.6","10/12/2001","10/12/2009"
"10/13/2018","49","Pala Airpad","06-073-1201","AQS","93","25","56","10/13/2002","10/13/2007"
"10/14/2018","30","Donovan","06-073-1014","AQS","110","21","56.2","10/14/2002","10/14/2009"
"10/15/2018","44","Pala Airpad","06-073-1201","AQS","89","27","52.2","10/15/2001","10/15/2006"
"10/16/2018","43","Donovan","06-073-1014","AQS","98","26","49.4","10/16/2001","10/16/2016"
"10/17/2018","42","Donovan","06-073-1014","AQS","135","23","50.2","10/17/2003","10/17/2016"
"10/18/2018","41","Donovan","06-073-1014","AQS","105","25","49.6","10/18/2003","10/18/2015"
"10/19/2018","41","Donovan","06-073-1014","AQS","89","14","57.2","10/19/2000","10/19/2004"
"10/20/2018","45","Donovan","06-073-1014","AQS","118","19","50.2","10/20/2000","10/20/2004"
"10/21/2018","55","Donovan","06-073-1014","AQS","115","27","53.4","10/21/2005","10/21/2012"
"10/22/2018","53","Donovan","06-073-1014","AQS","186","31","56.8","10/22/2007","10/22/2004"
"10/23/2018","62","Pala Airpad","06-073-1201","AQS","188","33","62.4","10/23/2007","10/23/2012"
"10/24/2018","77","Pala Airpad","06-073-1201","AQS","163","34","63.6","10/24/2007","10/24/2012"
"10/25/2018","73","Pala Airpad","06-073-1201","AQS","135","28","58.8","10/25/2007","10/25/2010"
"10/26/2018","71","Kearny Villa Rd.","06-073-1016","AQS","176","36","66.8","10/26/2003","10/26/2000"
"10/27/2018","81","Pala Airpad","06-073-1201","AQS","289","28","69.2","10/27/2003","10/27/2004"
"10/28/2018","68","Donovan","06-073-1014","AQS","143","23","73.6","10/28/2007","10/28/2005"
"10/29/2018","79","Donovan","06-073-1014","AQS","119","28","61.2","10/29/2003","10/29/2000"
"10/30/2018","72","Pala Airpad","06-073-1201","AQS","79","25","57.8","10/30/2007","10/30/2000"
"10/31/2018","69","Pala Airpad","06-073-1201","AQS","98","26","58.2","10/31/2019","10/31/2017"
"11/01/2018","61","Donovan","06-073-1014","AQS","94","24","49.4","11/01/2007","11/01/2003"
"11/02/2018","56","Donovan","06-073-1014","AQS","121","27","46.6","11/02/2007","11/02/2017"
"11/03/2018","57","Donovan","06-073-1014","AQS","129","21","49.2","11/03/2002","11/03/2015"
"11/04/2018","67","Donovan","06-073-1014","AQS","114","32","57.2","11/04/2001","11/04/2015"
"11/05/2018","70","Donovan","06-073-1014","AQS","117","31","57.8","11/05/2001","11/05/2017"
"11/06/2018","60","Pala Airpad","06-073-1201","AQS","133","37","59.4","11/06/2007","11/06/2014"
"11/07/2018","59","Pala Airpad","06-073-1201","AQS","134","35","65","11/07/2003","11/07/2014"
"11/08/2018","67","Pala Airpad","06-073-1201","AQS","127","25","64","11/08/2001","11/08/2002"
"11/09/2018","64","Pala Airpad","06-073-1201","AQS","114","16","53.2","11/09/2001","11/09/2002"
"11/10/2018","48","Donovan","06-073-1014","AQS","88","29","54.6","11/10/2009","11/10/2005"
"11/11/2018","64","Donovan","06-073-1014","AQS","80","31","61.8","11/11/2019","11/11/2010"
"11/12/2018","77","Pala Airpad","06-073-1201","AQS","91","43","66.2","11/12/2019","11/12/2006"
"11/13/2018","48","Pala Airpad","06-073-1201","AQS","103","31","68","11/13/2019","11/13/2001"
"11/14/2018","36","El Cajon - Lexington Elementary School","06-073-1022","AQS","106","32","65","11/14/2005","11/14/2014"
"11/15/2018","48","Donovan","06-073-1014","AQS","122","34","64.8","11/15/2005","11/15/2014"
"11/16/2018","70","Donovan","06-073-1014","AQS","97","38","66.8","11/16/2001","11/16/2003"
"11/17/2018","71","Donovan","06-073-1014","AQS","122","36","61.2","11/17/2001","11/17/2014"
"11/18/2018","65","Donovan","06-073-1014","AQS","130","33","60.4","11/18/2001","11/18/2014"
"11/19/2018","68","Camp Pendleton","06-073-1008","AQS","108","43","63.2","11/19/2001","11/19/2011"
"11/20/2018","70","Donovan","06-073-1014","AQS","126","24","64.6","11/20/2007","11/20/2014"
"11/21/2018","67","Pala Airpad","06-073-1201","AQS","86","26","55","11/21/2007","11/21/2014"
"11/22/2018","63","Pala Airpad","06-073-1201","AQS","86","39","51.4","11/22/2002","11/22/2014"
"11/23/2018","46","Donovan","06-073-1014","AQS","108","41","55.4","11/23/2000","11/23/2013"
"11/24/2018","53","Donovan","06-073-1014","AQS","108","35","59.8","11/24/2000","11/24/2014"
"11/25/2018","56","Donovan","06-073-1014","AQS","134","38","61.6","11/25/2000","11/25/2014"
"11/26/2018","39","Donovan","06-073-1014","AQS","117","39","59.2","11/26/2000","11/26/2018"
"11/27/2018","44","El Cajon - Lexington Elementary School","06-073-1022","AQS","120","33","56.6","11/27/2000","11/27/2006"
"11/28/2018","58","Donovan","06-073-1014","AQS","117","29","52.8","11/28/2000","11/28/2006"
"11/29/2018","37","Pala Airpad","06-073-1201","AQS","96","25","45.4","11/29/2000","11/29/2019"
"11/30/2018","46","Camp Pendleton","06-073-1008","AQS","113","27","59.8","11/30/2000","11/30/2007"
"12/01/2018","42","El Cajon - Lexington Elementary School","06-073-1022","AQS","131","37","61.2","12/01/2000","12/01/2012"
"12/02/2018","54","Pala Airpad","06-073-1201","AQS","157","38","60","12/02/2000","12/02/2014"
"12/03/2018","44","El Cajon - Lexington Elementary School","06-073-1022","AQS","155","26","59.6","12/03/2000","12/03/2014"
"12/04/2018","56","El Cajon - Lexington Elementary School","06-073-1022","AQS","105","23","62.8","12/04/2002","12/04/2014"
"12/05/2018","43","El Cajon - Lexington Elementary School","06-073-1022","AQS","155","42","52.8","12/05/2006","12/05/2019"
"12/06/2018","39","Pala Airpad","06-073-1201","AQS","129","39","50.4","12/06/2003","12/06/2018"
"12/07/2018","37","El Cajon - Lexington Elementary School","06-073-1022","AQS","94","21","54","12/07/2002","12/07/2007"
"12/08/2018","55","El Cajon - Lexington Elementary School","06-073-1022","AQS","134","33","63.2","12/08/2000","12/08/2007"
"12/09/2018","67","El Cajon - Lexington Elementary School","06-073-1022","AQS","120","40","67.2","12/09/2012","12/09/2019"
"12/10/2018","64","Donovan","06-073-1014","AQS","125","31","63","12/10/2012","12/10/2006"
"12/11/2018","59","El Cajon - Lexington Elementary School","06-073-1022","AQS","142","38","52.4","12/11/2007","12/11/2015"
"12/12/2018","64","Donovan","06-073-1014","AQS","83","21","58.6","12/12/2001","12/12/2014"
"12/13/2018","65","Pala Airpad","06-073-1201","AQS","117","30","61.6","12/13/2002","12/13/2012"
"12/14/2018","67","El Cajon - Lexington Elementary School","06-073-1022","AQS","111","40","79.2","12/14/2005","12/14/2012"
"12/15/2018","61","El Cajon - Lexington Elementary School","06-073-1022","AQS","100","29","67.2","12/15/2005","12/15/2008"
"12/16/2018","66","El Cajon - Lexington Elementary School","06-073-1022","AQS","104","44","55","12/16/2005","12/16/2006"
"12/17/2018","57","Pala Airpad","06-073-1201","AQS","106","24","58.4","12/17/2001","12/17/2014"
"12/18/2018","62","Pala Airpad","06-073-1201","AQS","122","31","65.8","12/18/2001","12/18/2010"
"12/19/2018","77","Camp Pendleton","06-073-1008","AQS","127","29","74.8","12/19/2001","12/19/2010"
"12/20/2018","71","Donovan","06-073-1014","AQS","95","14","62.6","12/20/2008","12/20/2010"
"12/21/2018","112","Donovan","06-073-1014","AQS","112","20","71.8","12/21/2018","12/21/2010"
"12/22/2018","78","Donovan","06-073-1014","AQS","110","28","65","12/22/2000","12/22/2015"
"12/23/2018","82","Donovan","06-073-1014","AQS","148","43","60.6","12/23/2000","12/23/2016"
"12/24/2018","92","Donovan","06-073-1014","AQS","156","42","70.4","12/24/2000","12/24/2016"
"12/25/2018","92","Pala Airpad","06-073-1201","AQS","153","25","72.8","12/25/2009","12/25/2003"
"12/26/2018","61","Pala Airpad","06-073-1201","AQS","107","32","72","12/26/2002","12/26/2019"
"12/27/2018","54","Donovan","06-073-1014","AQS","119","45","72.8","12/27/2017","12/27/2007"
"12/28/2018","53","El Cajon - Lexington Elementary School","06-073-1022","AQS","109","19","66.4","12/28/2001","12/28/2004"
"12/29/2018","53","El Cajon - Lexington Elementary School","06-073-1022","AQS","105","21","62.8","12/29/2001","12/29/2004"
"12/30/2018","57","El Cajon - Lexington Elementary School","06-073-1022","AQS","98","31","62.2","12/30/2007","12/30/2014"
"12/31/2018","47","Donovan","06-073-1014","AQS","132","46","74.4","12/31/2000","12/31/2016"
